euler_residual,labor_residual,capital_accumulation_residual,technology_law_residual
-3.4978636661924694e-05,8.962608433193964e-12,-0.0009437677091916896,3.9056991417848646e-20
-3.785072031892875e-05,9.50128864474209e-12,-0.0010528755018466285,-3.9056991417848646e-20
-4.676933094933712e-05,1.0897505120510688e-11,-0.0013771580834660568,3.9056991417848646e-20
-4.00535185267651e-05,1.000355354108251e-11,-0.0011450801413541711,3.9056991417848646e-20
-6.793538837685149e-05,1.364242052659392e-11,-0.0021372042741809594,-3.9056991417848646e-20
-9.125887276608778e-05,1.6070700326054066e-11,-0.0029559282958722117,0.0
-2.9724975597184546e-05,8.585132604821409e-12,-0.000793469943655367,-3.9056991417848646e-20
-4.418908812924821e-05,1.099476065746785e-11,-0.0013159646404066194,-3.9056991417848646e-20
-5.573527658618292e-05,1.2601919507915227e-11,-0.001727713926127805,1.5409612614093224e-18
-1.7542340571682603e-05,6.083578085736008e-12,-0.0003477036975301217,3.9056991417848646e-20
-1.4351645474925854e-05,-2.9349855878990634e-12,-8.468998530375414e-05,-7.811398283569729e-20
-9.21379648090927e-06,3.019806626980426e-13,3.3252877067013735e-05,-4.2429730677017925e-19
-9.019144421709434e-06,9.552358903874845e-13,2.967004597209666e-05,-3.4618332393448195e-19
-9.823409819231316e-06,-4.409805853811121e-13,2.847789090054675e-05,-3.4618332393448195e-19
-2.3813231200970695e-05,-5.6283866456396944e-12,-0.0003596479436964728,0.0
-1.3487853219176265e-05,-2.618794070485819e-12,-6.38539699355789e-05,-3.4618332393448195e-19
-1.2093582357537547e-05,-2.0041746040533326e-12,-2.841915070028733e-05,-7.811398283569729e-20
-1.8435582802203455e-05,-4.33342250971691e-12,-0.00020957242822916555,8.095376221225099e-19
-2.2582916190457758e-05,-5.46052092431637e-12,-0.00034098737594590034,0.0
-1.7550937986061828e-05,-4.161115896295087e-12,-0.00019472567987222075,-7.811398283569729e-20
-1.589206992276302e-05,-3.669065051781217e-12,-0.00014961598804674733,-8.095376221225099e-19
-9.107470486814351e-06,2.660094367001875e-13,2.4148756239128488e-05,-4.2429730677017925e-19
-9.002263420143404e-06,6.128431095930863e-13,2.3491940941866574e-05,3.852403153523306e-19
-8.972439583124326e-06,9.992007221626409e-13,1.9762755018248868e-05,-4.2429730677017925e-19
-9.317536516228121e-06,-4.929390229335695e-14,2.5192611818880547e-05,-4.2429730677017925e-19
-8.995061221126536e-06,1.2003731342247193e-12,1.769733098022641e-05,-3.4618332393448195e-19
