t,epsilon_t,shock_impact_t,k,z,c,n,y,i,log_k_dev,log_c_dev,log_n_dev,log_y_dev,log_i_dev
125,-0.04871840193011795,-0.0004871840193011795,12.786879786081634,0.010879348555337844,0.9231353489730829,0.3306047098509969,1.2459995167661895,0.32286416779310656,0.019778934943031134,0.015509908145246543,0.0018307771981705694,0.019171462541658097,0.029715183176035866
126,-0.8432302702928711,-0.008432302702928711,12.790080565619784,0.0019030784246422405,0.9202548816656033,0.329207225398457,1.2316328581961464,0.3113779765305431,0.02002922109985706,0.01238472108065855,-0.0024052375435001535,0.007574245992750778,-0.006508985601568264
127,-1.218813060423628,-0.012188130604236281,12.78164001452317,-0.010380206100826152,0.9157916367040085,0.32735843587285074,1.2119317602521926,0.2961401235481841,0.019369073779954164,0.007522912070393311,-0.008036949711945317,-0.008550987355687477,-0.05668378577380376
128,-0.8781523669287508,-0.008781523669287509,12.757844827974331,-0.01864271946507235,0.9120456346270824,0.32619681525759675,1.1984237910659832,0.28637815643890074,0.017505669441074987,0.0034240709095987873,-0.011591727480080687,-0.019759384053537103,-0.09020335568889667
129,-0.33412344070081207,-0.0033412344070081206,12.724558561030257,-0.021051817898826854,0.9098567204603407,0.325969826320364,1.1938842674371128,0.2840275469767721,0.014893177568325287,0.001021181189587249,-0.012287834677006509,-0.023554488167513828,-0.09844528859503666
130,0.9159025423560131,0.009159025423560131,12.689702966040928,-0.01084020158032538,0.9117880120771232,0.3276769349705007,1.2089825796388984,0.2971945675617752,0.012150180939700297,0.003141564276235199,-0.007064485820904048,-0.010987407367411772,-0.05312948450182086
131,-1.326392717739564,-0.01326392717739564,12.669379823639023,-0.023562118678704752,0.9067217371881143,0.3258204729981917,1.1886806329244648,0.28195889573635047,0.010547351143259205,-0.002430347558091376,-0.012746121107296721,-0.027922589775801376,-0.10575521793553545
132,0.030631492594417446,0.00030631492594417444,12.6338287426895,-0.022077697818825338,0.9057255798005505,0.32619731486670145,1.190122913560309,0.2843973337597586,0.007737343531033944,-0.00352958777162324,-0.011590195862668245,-0.02670997949976081,-0.09714419553002776
133,-0.4841694333335785,-0.004841694333335785,12.601756520052737,-0.025815507261219853,0.9031516643112246,0.32576419335301154,1.1835913973093246,0.2804397329981,0.0051955170133808435,-0.00637546051935213,-0.012918868098521448,-0.03221319671945637,-0.11115767219325295
134,-0.32767309436196085,-0.0032767309436196085,12.566413810199744,-0.027801462841778465,0.9010199396924822,0.32561238486097077,1.1796974815870975,0.27867754189461535,0.0023869907978763755,-0.008738567893421641,-0.013384984013237117,-0.035508535923014534,-0.11746116885676662
135,1.0027578253046041,0.010027578253046041,12.530170778895489,-0.016383811446643498,0.9032528163800946,0.32750998053783786,1.1964452302348392,0.2931924138547446,-0.000501295165588123,-0.0062634678066935566,-0.007574124924874712,-0.021411717658174807,-0.06668742239127416
136,0.5381154370039261,0.0053811543700392605,12.509875185303168,-0.010183466504272062,0.9044399418554465,0.32854793836884405,1.2056233370109066,0.3011833951554601,-0.0021223463462246048,-0.004950052525696449,-0.004409896075176787,-0.01376984467702604,-0.039797153009336
137,1.3373981074427437,0.013373981074427436,12.498238321532074,0.0036996878953689787,0.9085339056507785,0.33073710015067476,1.2272735875994025,0.318739681948624,-0.003052993482627662,-0.0004337482671684975,0.0022311459619298642,0.004028543657258294,0.016858207141965315
