phi_pi,phi_x,determinate,stable_root_count,roots_outside_unit_circle_count,infinite_root_count,spectral_radius
0.9,0.28,False,4,1,1,
0.95,0.28,False,4,1,1,
1.0,0.28,True,3,2,1,0.8000000000000003
1.05,0.28,True,3,2,1,0.8000000000000004
1.1,0.28,True,3,2,1,0.8
1.15,0.28,True,3,2,1,0.8
1.2000000000000002,0.28,True,3,2,1,0.8000000000000002
1.25,0.28,True,3,2,1,0.7999999999999999
1.3,0.28,True,3,2,1,0.8000000000000002
1.35,0.28,True,3,2,1,0.7999999999999998
1.4,0.28,True,3,2,1,0.8000000000000003
1.4500000000000002,0.28,True,3,2,1,0.8000000000000003
1.5,0.28,True,3,2,1,0.8000000000000004
1.55,0.28,True,3,2,1,0.8000000000000003
1.6,0.28,True,3,2,1,0.8000000000000002
1.6500000000000001,0.28,True,3,2,1,0.8000000000000003
1.7000000000000002,0.28,True,3,2,1,0.8000000000000002
1.75,0.28,True,3,2,1,0.8
1.8,0.28,True,3,2,1,0.8000000000000003
1.85,0.28,True,3,2,1,0.8
1.9000000000000001,0.28,True,3,2,1,0.7999999999999999
1.9500000000000002,0.28,True,3,2,1,0.8
2.0,0.28,True,3,2,1,0.8000000000000002
2.05,0.28,True,3,2,1,0.8000000000000002
2.1,0.28,True,3,2,1,0.8000000000000002
2.1500000000000004,0.28,True,3,2,1,0.8000000000000003
2.2,0.28,True,3,2,1,0.8000000000000002
2.25,0.28,True,3,2,1,0.7999999999999999
2.3,0.28,True,3,2,1,0.8
2.35,0.28,True,3,2,1,0.8000000000000003
2.4000000000000004,0.28,True,3,2,1,0.8000000000000003
2.45,0.28,True,3,2,1,0.8
2.5,0.28,True,3,2,1,0.7999999999999998
0.5,0.32,False,4,1,1,
0.55,0.32,False,4,1,1,
0.6,0.32,False,4,1,1,
0.65,0.32,False,4,1,1,
0.7,0.32,False,4,1,1,
0.75,0.32,False,4,1,1,
0.8,0.32,False,4,1,1,
0.8500000000000001,0.32,False,4,1,1,
0.9,0.32,False,4,1,1,
0.95,0.32,False,4,1,1,
1.0,0.32,True,3,2,1,0.8
1.05,0.32,True,3,2,1,0.8000000000000005
1.1,0.32,True,3,2,1,0.8000000000000002
1.15,0.32,True,3,2,1,0.7999999999999999
1.2000000000000002,0.32,True,3,2,1,0.7999999999999999
1.25,0.32,True,3,2,1,0.7999999999999999
1.3,0.32,True,3,2,1,0.7999999999999998
1.35,0.32,True,3,2,1,0.7999999999999999
1.4,0.32,True,3,2,1,0.8
1.4500000000000002,0.32,True,3,2,1,0.8
1.5,0.32,True,3,2,1,0.8000000000000003
1.55,0.32,True,3,2,1,0.8000000000000004
1.6,0.32,True,3,2,1,0.8000000000000003
1.6500000000000001,0.32,True,3,2,1,0.7999999999999998
1.7000000000000002,0.32,True,3,2,1,0.8000000000000003
1.75,0.32,True,3,2,1,0.8
1.8,0.32,True,3,2,1,0.7999999999999999
1.85,0.32,True,3,2,1,0.7999999999999999
1.9000000000000001,0.32,True,3,2,1,0.8000000000000003
1.9500000000000002,0.32,True,3,2,1,0.7999999999999999
2.0,0.32,True,3,2,1,0.7999999999999998
2.05,0.32,True,3,2,1,0.7999999999999997
2.1,0.32,True,3,2,1,0.8
2.1500000000000004,0.32,True,3,2,1,0.8
2.2,0.32,True,3,2,1,0.8
2.25,0.32,True,3,2,1,0.7999999999999998
2.3,0.32,True,3,2,1,0.8000000000000003
2.35,0.32,True,3,2,1,0.8
2.4000000000000004,0.32,True,3,2,1,0.8
2.45,0.32,True,3,2,1,0.8000000000000002
2.5,0.32,True,3,2,1,0.8
0.5,0.36,False,4,1,1,
0.55,0.36,False,4,1,1,
0.6,0.36,False,4,1,1,
0.65,0.36,False,4,1,1,
0.7,0.36,False,4,1,1,
0.75,0.36,False,4,1,1,
0.8,0.36,False,4,1,1,
0.8500000000000001,0.36,False,4,1,1,
0.9,0.36,False,4,1,1,
0.95,0.36,False,4,1,1,
1.0,0.36,True,3,2,1,0.8
1.05,0.36,True,3,2,1,0.8000000000000002
1.1,0.36,True,3,2,1,0.8000000000000002
1.15,0.36,True,3,2,1,0.8
1.2000000000000002,0.36,True,3,2,1,0.7999999999999998
1.25,0.36,True,3,2,1,0.8000000000000002
1.3,0.36,True,3,2,1,0.7999999999999998
1.35,0.36,True,3,2,1,0.7999999999999998
1.4,0.36,True,3,2,1,0.8
1.4500000000000002,0.36,True,3,2,1,0.8
1.5,0.36,True,3,2,1,0.7999999999999999
1.55,0.36,True,3,2,1,0.8
1.6,0.36,True,3,2,1,0.8000000000000002
1.6500000000000001,0.36,True,3,2,1,0.8
1.7000000000000002,0.36,True,3,2,1,0.8
1.75,0.36,True,3,2,1,0.8000000000000002
1.8,0.36,True,3,2,1,0.8000000000000003
1.85,0.36,True,3,2,1,0.8000000000000002
