t,eps_demand,eps_costpush,eps_monetary,internal_linear_residual_max_abs,r_n,u,nu,x,pi,i
116,0.21409418718645298,1.010165039461329,0.9151401163866373,1.3877787807814457e-17,0.031318942872595595,0.018293082246384398,0.003550929320051097,-0.0029855628248023998,0.04417598046560213,0.0683221186060531
117,-0.6023938575336232,-2.7019696748942175,1.1420493170462718,8.673617379884035e-18,0.01903121572274023,-0.017873155625749974,0.004630587952641228,0.044037561020206166,-0.02148069794036134,-0.0055716784477977035
118,1.0666005675468448,0.752520515106391,-0.3942583664055034,1.0408340855860843e-17,0.025890978253660636,-0.0014113726618110774,0.0013296480603068558,0.026201285114897728,0.009456178615739184,0.028614558541364486
119,-0.3959066146045071,-1.5634472343389074,1.6336577240574144,6.938893903907228e-18,0.016753716456883436,-0.016340158674294614,0.004748968340296964,0.0392076520197893,-0.02002273970739563,-0.005681315210901832
120,-0.07298077442661945,0.8563446666291243,-0.33466803554517016,6.071532165918825e-18,0.012673165421240556,0.00039336732914393643,0.0015378140812855566,0.010292606593962406,0.006274101355095688,0.016095269410910287
121,-2.3374335599503904,0.8084841100937823,1.2334047832692312,4.336808689942018e-18,-0.013235803262511461,0.008281524765509791,0.0038524189988158562,-0.029673361273182854,0.006912651899350617,-0.0006152837887496405
122,1.8779157343375743,-0.09382123971504851,-0.4584825344201093,4.336808689942018e-18,0.008190514733366572,0.0032025499856044104,0.0007800031633576549,0.0019572472188356337,0.008963484951187525,0.015203854199556758
123,0.17136503388554886,-1.021878980589328,-0.8579712930762587,3.469446951953614e-18,0.008266062125548743,-0.008617514813091075,-0.0017549266510118195,0.02368336186916661,-0.010119775038799435,-0.005092908274627671
124,0.6293350173408212,-0.21860943483725345,-0.5142328876888154,5.041540102057596e-18,0.012906199873847208,-0.006494851754918072,-0.0021630455447279482,0.024992059854522127,-0.004391585918583877,0.003745605504657296
125,0.4038391461860933,-0.3350595800581669,2.4210069575501385,2.6020852139652106e-18,0.014363351360938699,-0.006598021678040704,0.004970994621511373,0.0206135149009122,-0.005065436149653997,0.007679597847486474
126,-0.2807919432837501,1.5631731284362487,0.7112323067828596,6.071532165918825e-18,0.008682761655913458,0.012332720445342137,0.004263578077712836,-0.015566826041344054,0.023707193186364717,0.032040954836587886
127,0.9837439699469787,0.36769378094808336,-0.13749834849424247,6.938893903907228e-18,0.01678364902420055,0.009843298032151903,0.0017880431676208118,-0.0015703953336510458,0.023758993629173865,0.03664133594455608
128,0.010680397738867918,-0.5949349536888765,0.38030264471534925,4.336808689942018e-18,0.013533723196749113,-0.0010277005208128133,0.001844778195598779,0.013215475543827302,0.004273636541644081,0.01486297077997855
129,0.9791191081898012,-2.4287469680873306,-1.2608678867963687,8.673617379884035e-18,0.0206181696392973,-0.024801319941279716,-0.002229780619191532,0.06274650869382706,-0.031062200018496505,-0.01744982630002277
130,-1.192746587644053,0.6534838707260533,0.6256422819546147,1.734723475976807e-18,0.004567069834997316,-0.005865821263379325,0.0004492153952907708,0.013726685924440547,-0.007651515841163719,-0.004164715404234534
131,-0.41274271788082045,1.5051230050745619,-0.38051327467819823,4.336808689942018e-18,-0.00047377131081035055,0.012118319419055956,-0.0007266754890501102,-0.019880786845888787,0.019930646176638388,0.019228900352963076
132,0.5392331718505845,0.7962271595849018,-0.16402635907983296,6.071532165918825e-18,0.0050133146698575605,0.014021431305376995,-0.0007734036422246375,-0.017693758181099622,0.025629039923120763,0.028823277151906693
133,1.0381741150424166,-0.37279140612747835,-0.02278255470400007,6.938893903907228e-18,0.01439239288631021,0.003282801591413714,-0.0004436582078723189,0.008829262301332436,0.012174957172697322,0.022233408701839878
134,0.10685294414311698,0.7518011315268861,1.433009005129453,6.938893903907228e-18,0.012582443750479334,0.009159412110975719,0.0033606934088874735,-0.005805824273132817,0.02042005050778724,0.03108785703400192
135,-0.7637661777265387,-1.3856601618495727,0.6588919587622434,3.469446951953614e-18,0.002428293223118075,-0.00927689556300787,0.003327576601349345,0.014898842495131496,-0.014757428777740724,-0.011359145317695996
136,-2.102142557036337,0.045467292984670386,0.5744307394152808,8.673617379884035e-18,-0.019078790991868905,-0.004183774851657231,0.0030998651492128745,-0.014078415171311125,-0.01627686568057161,-0.028354640957300097
