scenario_name,phi_pi,phi_y,rho_i,validation_cumulative_loss,validation_policy_volatility,validation_unstable_episodes,rule_family,alpha
macro_core_moderate_gap,1.0,0.125,0.7,0.0012386601784360807,0.0009344152016352763,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.125,0.5,0.0012646910132656914,0.0009459603029796668,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.0,0.3,0.0013792967263306735,0.0010757138398652705,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.0,0.7,0.0014393083429888283,0.0010876774467828924,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.125,0.7,0.0014761497154455131,0.001123842574737782,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.25,0.85,0.0014888670161039299,0.0008517279723748286,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.125,0.85,0.0015299889093587124,0.0008532480317916017,0,history_observables_rule,0.5
macro_core_moderate_gap,2.5,0.0,0.85,0.0015927568862551225,0.0008709327263459741,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.25,0.7,0.00161361370958705,0.0008826335274331003,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.5,0.001663776897525122,0.0012830346225662288,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.125,0.7,0.001663790795291328,0.0008820488748461427,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.125,0.3,0.0016834976975316398,0.0011849200769963122,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.125,0.5,0.0017203291758552193,0.0013330904893381957,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.25,0.85,0.0017300922557249015,0.0009604488258198156,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.0,0.7,0.0017358422012419962,0.0008990431256507925,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.125,0.85,0.0017790748887743205,0.0009587115208255986,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.0,0.85,0.0018606670444508532,0.000978723588008751,0,history_observables_rule,0.2
macro_core_moderate_gap,2.0,0.0,0.3,0.0020592001116522146,0.0015567646723019717,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.25,0.5,0.002168996272215884,0.0011092819161453993,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.25,0.85,0.0022009262129908855,0.0011382978322760124,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.125,0.3,0.002201421103747061,0.0016378309571694195,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.0,0.5,0.0022358880392915207,0.0016649357885695209,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.125,0.5,0.0022527876599087336,0.0011000795752752796,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.125,0.85,0.0022655969492831537,0.001167753669729583,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.0,0.5,0.0023805195025627473,0.0011220782836195615,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.125,0.5,0.002435268424865856,0.0017652386198420695,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.25,0.3,0.0025553502813935175,0.0012508810185365674,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.125,0.3,0.0026635515457691748,0.001233616519419867,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.0,0.3,0.002836916853332573,0.001257972895907862,0,history_observables_rule,0.8
macro_core_moderate_gap,2.0,0.0,0.3,0.003262981068908259,0.0021921644631909916,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.25,0.7,0.0034201507255975693,0.0016229834727674874,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.125,0.7,0.003642291014855581,0.0015899303456628072,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.125,0.3,0.003931579085365557,0.002424071128620718,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.0,0.7,0.003991298049151489,0.0016193258136318624,0,history_observables_rule,0.5
macro_core_moderate_gap,0.5,0.25,0.7,0.00465198264190527,0.0020612064721232306,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.125,0.7,0.004960435592479911,0.0019636478161723487,0,history_observables_rule,0.2
macro_core_moderate_gap,2.5,0.0,0.7,0.005321822378111509,0.0019497420049699097,0,history_observables_rule,0.2
macro_core_moderate_gap,1.0,0.25,0.85,0.0054802834740918654,0.002033826694100294,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.125,0.85,0.005663047512442683,0.0020899350459880764,0,history_observables_rule,0.5
macro_core_moderate_gap,1.5,0.25,0.85,0.005806380078004015,0.002175401006104469,0,history_observables_rule,0.8
macro_core_moderate_gap,0.5,0.25,0.5,0.005818802067036079,0.0025392082082086997,0,history_observables_rule,0.5
macro_core_moderate_gap,2.5,0.125,0.85,0.0058611774163490294,0.0021986084194502804,0,history_observables_rule,0.8
macro_core_moderate_gap,1.5,0.125,0.5,0.00598988027971081,0.0023334975867978533,0,history_observables_rule,0.5
macro_core_moderate_gap,1.0,0.25,0.7,0.006280427654718505,0.0021490176549591165,0,history_observables_rule,0.8
macro_core_moderate_gap,2.5,0.0,0.5,0.006342462062985834,0.002230434316097734,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.125,0.7,0.006383981315434962,0.002182812237534787,0,history_observables_rule,0.8
macro_core_moderate_gap,1.0,0.25,0.85,0.0071409272062527285,0.0023450993703686774,0,history_observables_rule,0.2
macro_core_moderate_gap,1.5,0.125,0.3,0.007271511451581758,0.002920471888532452,0,history_observables_rule,0.5
macro_core_moderate_gap,2.0,0.125,0.85,0.007304668345809661,0.002394882223378474,0,history_observables_rule,0.2
macro_core_moderate_gap,0.5,0.25,0.3,0.007467406063755133,0.0033311674107077706,0,history_observables_rule,0.5
macro_core_moderate_gap,2.5,0.0,0.3,0.0074951040862028945,0.0026714763589201513,0,history_observables_rule,0.5
