t,obs_x,obs_pi,obs_i,signal_x,signal_pi,signal_i
218,0.01743224762696391,0.014358750270602766,0.03181822583245838,0.01792852018474598,0.014294299694234437,0.03206249546540005
219,0.00859259477779415,0.02805560076424946,0.046375435700564537,0.010301682715973703,0.026121155605240927,0.0482181665012301
220,0.012272245601933731,-0.006304205509105597,0.0004642807657127047,0.014762630350782407,-0.005457908202253477,0.0011250852182993014
221,-0.0037424523866003883,0.019680416619761623,0.03658373762142404,-0.002407362424366329,0.023044369016170897,0.03555529597851565
222,0.040119937916311486,0.00669882934194605,0.03327955227306594,0.03853567583825453,0.007815373461739142,0.03406346829647468
223,0.05100690500533131,-0.013596433312023834,0.0015696864256851625,0.049206404795674216,-0.014700282586625646,0.003331863173551139
224,0.05446455514025388,-0.038724733423191056,-0.03030702281146413,0.05653742463110467,-0.037985147789645214,-0.029527362729522267
225,0.03484283546990939,-0.02147689736146463,-0.014709424679363908,0.03392833154300249,-0.022610454219061483,-0.013557249674833124
226,-0.016639890825592345,0.003368763343990038,0.005836343650388705,-0.012273822738302392,0.00592987204020923,0.004661576347628591
227,-0.009836233437960995,-0.010028389325563384,-0.020352164712984337,-0.012663493485536968,-0.010092877821287972,-0.02002630506757253
228,0.018761869045350557,-0.029637427682760946,-0.034281592282520965,0.020442791096349,-0.02924252020717925,-0.03255895919645513
229,-0.011817159201719421,0.007702713025976501,0.011239741402615333,-0.010213201950580618,0.007358749338328276,0.007147074043903044
230,-0.02986099612002536,0.00971886408120236,0.006818598014048774,-0.028303554713976362,0.011616989344963973,0.007228971909262963
