t,filtered_r_n,filtered_std_r_n,lower_95_r_n,upper_95_r_n,filter_error_r_n,filtered_u,filtered_std_u,lower_95_u,upper_95_u,filter_error_u,filtered_nu,filtered_std_nu,lower_95_nu,upper_95_nu,filter_error_nu
71,0.01854665195984715,0.001125794356298864,0.016340095021501376,0.020753208898192925,0.002207115681184063,-0.014330473292802562,0.0007150903470662122,-0.015732050373052336,-0.012928896212552787,-0.0009003482165490084,-0.0016011726585093448,0.0019347443994529822,-0.0053932716814371895,0.0021909263644185003,0.002143081545250373
72,-0.007336254456219547,0.001125794356298864,-0.00954281139456532,-0.005129697517873774,0.0005587369867242203,-0.019403857636892043,0.0007150903470662122,-0.02080543471714182,-0.018002280556642266,-0.0009778191329985406,-0.00279622637114268,0.0019347443994529822,-0.006588325394070525,0.000995872651785165,0.0033696580072213812
73,-0.009892252470278695,0.001125794356298864,-0.012098809408624468,-0.007685695531932922,-0.0006255296650239731,-0.004728797454011463,0.0007150903470662122,-0.006130374534261239,-0.003327220373761687,-0.0006166005279038406,-0.002062001136452052,0.0019347443994529822,-0.005854100159379897,0.0017300978864757933,0.0009493069875456729
74,-0.0067649312657909935,0.001125794356298864,-0.008971488204136766,-0.004558374327445221,-0.0005959997317863302,-2.6109489048480386e-05,0.0007150903470662122,-0.0014276865692982562,0.0013754675912012954,-0.00034702497182323086,0.0006959961319209834,0.0019347443994529822,-0.003096102891006862,0.004488095154848828,0.000259973344894376
75,-0.0029170586800963023,0.001125794356298864,-0.005123615618442075,-0.0007105017417505292,0.0002993179646786576,0.004777143897237172,0.0007150903470662122,0.003375566816987396,0.006178720977486948,-0.0007549428622399511,0.0004501570104602174,0.0019347443994529822,-0.0033419420124676277,0.004242256033388063,0.002617594791758781
76,0.001782527229820613,0.001125794356298864,-0.00042402970852516023,0.003989084168166386,-0.0008685863569810152,-0.005008223620058264,0.0007150903470662122,-0.00640980070030804,-0.0036066465398084885,-0.00032048822273681235,-0.0008579616856904065,0.0019347443994529822,-0.004650060708618252,0.0029341373372374384,0.0003684732475777103
77,-0.02396016738926272,0.001125794356298864,-0.026166724327608495,-0.021753610450916946,-0.0015918033389713884,-0.00553706053020517,0.0007150903470662122,-0.006938637610454945,-0.004135483449955394,0.0020791202683580748,-0.0008768021284417464,0.0019347443994529822,-0.004668901151369592,0.002915296894486099,-0.0016361389536783109
78,-0.02109427229045001,0.001125794356298864,-0.023300829228795783,-0.018887715352104234,-0.0008310309780630021,-0.014926698281247364,0.0007150903470662122,-0.01632827536149714,-0.013525121200997588,0.0007353834769188508,0.0005262537117361119,0.0019347443994529822,-0.0032658453111917333,0.004318352734663957,-0.0017615651892351125
79,-0.03121721923497458,0.001125794356298864,-0.03342377617332035,-0.029010662296628804,-0.0008795392722874482,-0.011550873902130967,0.0007150903470662122,-0.012952450982380743,-0.01014929682188119,-0.0008513153190956007,0.0013419154538913693,0.0019347443994529822,-0.002450183569036476,0.005134014476819214,0.0006770885550645897
80,-0.026981527756068137,0.001125794356298864,-0.02918808469441391,-0.024774970817722362,0.001776356409258474,0.004626775536311594,0.0007150903470662122,0.003225198456061818,0.0060283526165613695,1.2077056063446515e-06,-0.0010727500858755644,0.0019347443994529822,-0.00486484910880341,0.0027193489370522807,0.0012090393237043947
81,-0.00904889216027547,0.001125794356298864,-0.011255449098621242,-0.006842335221929697,0.0009823532823314586,0.015384232064232145,0.0007150903470662122,0.013982654983982368,0.01678580914448192,0.0009763736364507593,0.0008671387285070177,0.0019347443994529822,-0.0029249602944208274,0.004659237751434862,0.0012565804068400336
82,-0.0025596216124445263,0.001125794356298864,-0.0047661785507903,-0.0003530646740987531,0.0010851199385539566,-0.00023583022704536105,0.0007150903470662122,-0.0016374073072951368,0.0011657468532044147,-9.675908718761745e-05,-0.0015189556774025928,0.0019347443994529822,-0.005311054700330438,0.0022731433455252525,0.0006556781623017858
83,0.0014153494324710028,0.001125794356298864,-0.0007912075058747704,0.003621906370816776,-0.0009176288516919403,0.004498242292296663,0.0007150903470662122,0.003096665212046887,0.005899819372546439,0.0014499097851365535,0.0008478555155591723,0.0019347443994529822,-0.0029442435073686727,0.004639954538487017,-0.0009910118817398135
84,-0.0007937602805590559,0.001125794356298864,-0.003000317218904829,0.0014127966577867173,0.00024492769815083796,0.007313454453201109,0.0007150903470662122,0.005911877372951333,0.008715031533450886,-0.0007362052323715632,-0.0002594609074658446,0.0019347443994529822,-0.00405155993039369,0.0035326381154620005,0.001925579700779168
85,0.005986220719341666,0.001125794356298864,0.0037796637809958925,0.00819277765768744,-9.436291377643794e-05,0.011454166109387705,0.0007150903470662122,0.010052589029137929,0.012855743189637482,0.0006230084337474177,-0.0008132298965403363,0.0019347443994529822,-0.004605328919468181,0.002978869126387509,-0.0018281312392307769
