scenario,scenario_label,period,b,a,delta_mass,steady_mass,path_mass
baseline,Базовое правило,4,0.5949436113088571,424.49305164171244,2.364217206525953e-15,7.24218526382283e-15,9.606402470348783e-15
baseline,Базовое правило,4,0.5949436113088571,622.7910670346317,2.985685909732249e-18,7.438737304640449e-18,1.0424423214372698e-17
baseline,Базовое правило,4,0.5949436113088571,908.5214569027802,1.9417810304215126e-21,2.610953694231907e-21,4.55273472465342e-21
baseline,Базовое правило,4,0.5949436113088571,1320.234380667721,3.3089402573302933e-25,9.23046752773154e-26,4.231987010103447e-25
baseline,Базовое правило,4,0.5949436113088571,1913.4773033869203,9.178654833489886e-30,7.369023768538925e-31,9.915557210343779e-30
baseline,Базовое правило,4,0.5949436113088571,2768.2893460551436,1.2394937874821854e-38,0.0,1.2394937874821854e-38
baseline,Базовое правило,4,0.5949436113088571,4000.0,0.0,0.0,0.0
baseline,Базовое правило,4,0.89564392373896,0.0,-1.1200047632168068e-05,0.00017226734672724447,0.0001610672990950764
baseline,Базовое правило,4,0.89564392373896,0.09006460660490612,-4.261917059889171e-05,0.0005816225884268446,0.0005390034178279529
baseline,Базовое правило,4,0.89564392373896,0.21257574666139822,-7.719972947034341e-05,0.0009066962990773307,0.0008294965696069873
baseline,Базовое правило,4,0.89564392373896,0.3792225572535164,-1.956522012077364e-05,0.0007872010863127718,0.0007676358661919981
baseline,Базовое правило,4,0.89564392373896,0.6059052855974003,-2.3706657979297207e-06,0.000842434169592744,0.0008400635037948143
baseline,Базовое правило,4,0.89564392373896,0.9142523769509592,-1.6098153488880874e-06,0.0009933074124352204,0.0009916975970863324
baseline,Базовое правило,4,0.89564392373896,1.333684106226619,-1.1875901530845369e-06,0.0011681596855039307,0.0011669720953508462
baseline,Базовое правило,4,0.89564392373896,1.9042196502815902,-4.775806369348295e-07,0.001368822850683678,0.0013683452700467432
baseline,Базовое правило,4,0.89564392373896,2.6802954316542698,2.1599389797943673e-06,0.0016651577868001003,0.0016673177257798947
baseline,Базовое правило,4,0.89564392373896,3.7359590528066504,6.0210774221881695e-06,0.002027276378770079,0.002033297456192267
baseline,Базовое правило,4,0.89564392373896,5.171934388943833,8.46604379698768e-06,0.002458698494826616,0.0024671645386236036
baseline,Базовое правило,4,0.89564392373896,7.125231940055185,1.221766567948996e-05,0.00287351289897106,0.00288573056465055
