output,input,response_period,shock_period,value
Y,monetary_policy_shock,6,24,0.011071763345010933
Y,monetary_policy_shock,6,25,0.005777893471026376
Y,monetary_policy_shock,6,26,0.0017722455319208038
Y,monetary_policy_shock,6,27,-0.0012295336680213866
Y,monetary_policy_shock,6,28,-0.003456123253342325
Y,monetary_policy_shock,6,29,-0.005087982499636671
Y,monetary_policy_shock,6,30,-0.006265664509125598
Y,monetary_policy_shock,6,31,-0.007097749448775908
Y,monetary_policy_shock,6,32,-0.007667794755019678
Y,monetary_policy_shock,6,33,-0.008040095474653336
Y,monetary_policy_shock,6,34,-0.008264274316985341
Y,monetary_policy_shock,6,35,-0.008378834887518947
Y,monetary_policy_shock,6,36,-0.008413854775782104
Y,monetary_policy_shock,6,37,-0.008392998007899898
Y,monetary_policy_shock,6,38,-0.008335007384192723
Y,monetary_policy_shock,6,39,-0.00825481097743694
Y,monetary_policy_shock,6,40,-0.00816434841389727
Y,monetary_policy_shock,6,41,-0.008073197606973012
Y,monetary_policy_shock,6,42,-0.007989061251242869
Y,monetary_policy_shock,6,43,-0.007918156311904654
Y,monetary_policy_shock,6,44,-0.007865536685608101
Y,monetary_policy_shock,6,45,-0.007835369842826496
Y,monetary_policy_shock,6,46,-0.007831178702247817
Y,monetary_policy_shock,6,47,-0.007856048008982168
Y,monetary_policy_shock,6,48,-0.007912772033074847
Y,monetary_policy_shock,6,49,-0.008003874590309884
Y,monetary_policy_shock,6,50,-0.008131333509084206
Y,monetary_policy_shock,6,51,-0.008295634360285572
Y,monetary_policy_shock,6,52,-0.008493343941638185
Y,monetary_policy_shock,6,53,-0.008711504066507485
Y,monetary_policy_shock,6,54,-0.008915337197934433
Y,monetary_policy_shock,6,55,-0.00902212251826812
Y,monetary_policy_shock,6,56,-0.00884686048080713
Y,monetary_policy_shock,6,57,-0.007991021796245265
Y,monetary_policy_shock,6,58,-0.005617521042943378
Y,monetary_policy_shock,6,59,0.0
Y,monetary_policy_shock,7,0,0.11609987267506963
Y,monetary_policy_shock,7,1,0.11936187168757778
Y,monetary_policy_shock,7,2,0.114939060759586
Y,monetary_policy_shock,7,3,0.09235042613118413
Y,monetary_policy_shock,7,4,0.03389986609859025
Y,monetary_policy_shock,7,5,-0.09645799664271353
Y,monetary_policy_shock,7,6,-0.3738001458087674
Y,monetary_policy_shock,7,7,-0.8662107693627159
Y,monetary_policy_shock,7,8,-0.46611448324353383
Y,monetary_policy_shock,7,9,-0.1750293295747411
Y,monetary_policy_shock,7,10,0.019713236471687278
Y,monetary_policy_shock,7,11,0.13733633940922702
Y,monetary_policy_shock,7,12,0.1977596248488015
Y,monetary_policy_shock,7,13,0.21864813307850936
Y,monetary_policy_shock,7,14,0.21425919314306766
Y,monetary_policy_shock,7,15,0.19530743813042034
Y,monetary_policy_shock,7,16,0.16934804043464993
Y,monetary_policy_shock,7,17,0.14136788657813143
Y,monetary_policy_shock,7,18,0.1144053921287089
Y,monetary_policy_shock,7,19,0.09010672692742426
Y,monetary_policy_shock,7,20,0.0691807932205133
Y,monetary_policy_shock,7,21,0.05174694604893293
Y,monetary_policy_shock,7,22,0.03758581660008364
Y,monetary_policy_shock,7,23,0.026310404746021327
Y,monetary_policy_shock,7,24,0.017475853628269925
Y,monetary_policy_shock,7,25,0.010644666174815659
Y,monetary_policy_shock,7,26,0.005421238010573287
Y,monetary_policy_shock,7,27,0.0014664389061892734
Y,monetary_policy_shock,7,28,-0.0014999101522779137
Y,monetary_policy_shock,7,29,-0.003703220882365844
Y,monetary_policy_shock,7,30,-0.005321408994369599
Y,monetary_policy_shock,7,31,-0.006493053636243229
Y,monetary_policy_shock,7,32,-0.007325205195420143
Y,monetary_policy_shock,7,33,-0.007900236130124928
Y,monetary_policy_shock,7,34,-0.008281524106874598
