scenario,scenario_label,period,mean_liquid_wealth,median_liquid_wealth,mean_illiquid_wealth,median_illiquid_wealth,mean_total_wealth,median_total_wealth,p10_liquid_wealth,p25_liquid_wealth,p75_liquid_wealth,p90_liquid_wealth,p10_illiquid_wealth,p25_illiquid_wealth,p75_illiquid_wealth,p90_illiquid_wealth,share_low_liquidity,share_wealthy_htm,share_top20_total_wealth,gini_liquid_wealth,gini_total_wealth,mean_mpc,median_mpc
high_rho_i,Высокая инерция ставки,19,1.033853856967724,0.08897052667346173,12.969664581297227,7.125231940055185,14.003518438264951,9.741569608545477,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.594761384444313,0.35804806463629324,0.2033179575481774,0.7725742524515459,0.5340675302799989,0.10628709582231877,0.0851557317511084
high_rho_i,Высокая инерция ставки,20,1.0342774023279384,0.08897052667346173,12.969141735520356,7.125231940055185,14.003419137848294,9.741581714125717,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5946436907582837,0.3580210324842233,0.20331294007531867,0.7725090960165847,0.53405682510954,0.10627864209238361,0.08515460865398515
high_rho_i,Высокая инерция ставки,21,1.0346730439406626,0.08897052667346173,12.968652085191135,7.125231940055185,14.003325129131797,9.741593624033186,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5945366411692047,0.35799452135066534,0.2033077564927408,0.772451962356233,0.5340469637844757,0.10627091241291578,0.08515372900802828
high_rho_i,Высокая инерция ставки,22,1.0350428587191007,0.08897052667346173,12.968193195828624,7.125231940055185,14.003236054547724,9.741605094109696,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5944391891127547,0.3579685554741886,0.2033025775863742,0.7724017342887248,0.5340378629262053,0.10626379003914518,0.08515303764459108
high_rho_i,Высокая инерция ставки,23,1.0353887697568611,0.08897052667346173,12.9677627879188,7.125231940055185,14.003151557675658,9.74161596192959,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.594350390213072,0.3579431734018151,0.20329752892416925,0.7723574648855931,0.5340294469732159,0.10625719731324663,0.08515249351793566
high_rho_i,Высокая инерция ставки,24,1.0357125482388385,0.08897052667346173,12.967358775481957,7.125231940055185,14.003071323720796,9.741626130981524,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.594269395113952,0.35791841769680327,0.203292698299006,0.7723183507530272,0.5340216479110357,0.10625107867103299,0.08515206432235697
high_rho_i,Высокая инерция ставки,25,1.036015823060095,0.08897052667346173,12.96697926822213,7.125231940055185,14.002995091282225,9.741635555792445,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5941954407864605,0.3578943288630346,0.20328814315764937,0.7722837085182164,0.5340144047009916,0.10624539081681955,0.08515172335347053
high_rho_i,Высокая инерция ставки,26,1.0363000933699822,0.08897052667346173,12.966622557128298,7.125231940055185,14.00292265049828,9.741644228890788,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5941278416606097,0.3578709421413513,0.20328389738637936,0.7722529548228172,0.5340076625969914,0.1062400972455903,0.0851514476640179
high_rho_i,Высокая инерция ставки,27,1.0365667415459154,0.08897052667346173,12.966287094294222,7.125231940055185,14.002853835840138,9.741652169921512,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5940659812034769,0.35784828613577424,0.20327997716271146,0.7722255896320991,0.534001372452618,0.10623516533125417,0.08515121693892559
high_rho_i,Высокая инерция ставки,28,1.036817045413903,0.08897052667346173,12.965971472402185,7.125231940055185,14.002788517816086,9.741659416891563,0.0,0.0,1.3033580968401854,3.622018056792183,0.6059052855974003,2.6802954316542698,18.312649206637353,25.0,0.5940093041849684,0.35782638252059473,0.20327638579670215,0.7722011824574175,0.5339954900692192,0.1062305648802971,0.0851510127650313
