scenario,scenario_label,period,channel,value
high_phi_pi,Сильная реакция на инфляцию,58,labor_income,0.0075243559669494016
high_phi_pi,Сильная реакция на инфляцию,58,financial_income,-0.1385135727944952
high_phi_pi,Сильная реакция на инфляцию,58,disposable_income,-0.032308713644321335
high_phi_pi,Сильная реакция на инфляцию,59,labor_income,0.004651443161210896
high_phi_pi,Сильная реакция на инфляцию,59,financial_income,-0.184872900460995
high_phi_pi,Сильная реакция на инфляцию,59,disposable_income,-0.04704291074095523
high_rho_i,Высокая инерция ставки,0,labor_income,-2.6353107696065394
high_rho_i,Высокая инерция ставки,0,financial_income,-24.61697912716069
high_rho_i,Высокая инерция ставки,0,disposable_income,-8.630995132460193
high_rho_i,Высокая инерция ставки,1,labor_income,-2.3811355603116136
high_rho_i,Высокая инерция ставки,1,financial_income,17.091177243149225
high_rho_i,Высокая инерция ставки,1,disposable_income,2.9301010339837266
high_rho_i,Высокая инерция ставки,2,labor_income,-1.6258913525235612
high_rho_i,Высокая инерция ставки,2,financial_income,11.60608222209191
high_rho_i,Высокая инерция ставки,2,disposable_income,1.983240391280191
high_rho_i,Высокая инерция ставки,3,labor_income,-1.0622005996307766
high_rho_i,Высокая инерция ставки,3,financial_income,7.596627517347332
high_rho_i,Высокая инерция ставки,3,disposable_income,1.2995673743529783
high_rho_i,Высокая инерция ставки,4,labor_income,-0.6599325866522862
high_rho_i,Высокая инерция ставки,4,financial_income,4.783675627051176
high_rho_i,Высокая инерция ставки,4,disposable_income,0.8248571987958001
high_rho_i,Высокая инерция ставки,5,labor_income,-0.38369511519409133
high_rho_i,Высокая инерция ставки,5,financial_income,2.8775773286950246
high_rho_i,Высокая инерция ставки,5,disposable_income,0.5058442899490136
high_rho_i,Высокая инерция ставки,6,labor_income,-0.20044618963523378
high_rho_i,Высокая инерция ставки,6,financial_income,1.625637831718857
high_rho_i,Высокая инерция ставки,6,disposable_income,0.2976335390732241
high_rho_i,Высокая инерция ставки,7,labor_income,-0.08280667078959855
high_rho_i,Высокая инерция ставки,7,financial_income,0.8276057807000909
high_rho_i,Высокая инерция ставки,7,disposable_income,0.16551595924717635
high_rho_i,Высокая инерция ставки,8,labor_income,-0.009835459446745416
high_rho_i,Высокая инерция ставки,8,financial_income,0.33460676208970036
high_rho_i,Высокая инерция ставки,8,disposable_income,0.08411404465735274
high_rho_i,Высокая инерция ставки,9,labor_income,0.033646172421752864
high_rho_i,Высокая инерция ставки,9,financial_income,0.04087967565965622
high_rho_i,Высокая инерция ставки,9,disposable_income,0.03561917108349223
high_rho_i,Высокая инерция ставки,10,labor_income,0.058207700405260764
high_rho_i,Высокая инерция ставки,10,financial_income,-0.12609563614578256
high_rho_i,Высокая инерция ставки,10,disposable_income,0.00793741996037869
high_rho_i,Высокая инерция ставки,11,labor_income,0.07096738447033854
high_rho_i,Высокая инерция ставки,11,financial_income,-0.21458512616412295
high_rho_i,Высокая инерция ставки,11,disposable_income,-0.006919457189528998
high_rho_i,Высокая инерция ставки,12,labor_income,0.07658487756376807
high_rho_i,Высокая инерция ставки,12,financial_income,-0.25587943452061124
high_rho_i,Высокая инерция ставки,12,disposable_income,-0.014097551301362492
high_rho_i,Высокая инерция ставки,13,labor_income,0.07803265948743393
high_rho_i,Высокая инерция ставки,13,financial_income,-0.26976978633492354
high_rho_i,Высокая инерция ставки,13,disposable_income,-0.016833373966425123
high_rho_i,Высокая инерция ставки,14,labor_income,0.0771600483862352
high_rho_i,Высокая инерция ставки,14,financial_income,-0.2684683062565742
high_rho_i,Высокая инерция ставки,14,disposable_income,-0.017112983468426633
high_rho_i,Высокая инерция ставки,15,labor_income,0.07508787572910164
high_rho_i,Высокая инерция ставки,15,financial_income,-0.2593122770302309
high_rho_i,Высокая инерция ставки,15,disposable_income,-0.01612256991233576
high_rho_i,Высокая инерция ставки,16,labor_income,0.07247559676038032
high_rho_i,Высокая инерция ставки,16,financial_income,-0.2465752871781153
high_rho_i,Высокая инерция ставки,16,disposable_income,-0.014548207105124408
high_rho_i,Высокая инерция ставки,17,labor_income,0.06969720572792056
high_rho_i,Высокая инерция ставки,17,financial_income,-0.2326502214851457
high_rho_i,Высокая инерция ставки,17,disposable_income,-0.012770590255701543
